Pos,Nr,Rider,Nat.,Bike,Total,ARG ,SAR ,SUI ,TRE ,POR ,ESP ,FRA ,LAT ,GER ,INA ,INA  ,CZE ,BEL ,FIN ,SWE ,NED ,TUR ,ITA ,GBR 
1,61,"Prado, Jorge",ESP ,GAS,921,"10,25-15","10,25-15","10,25-20","1,25-20","5,25-15","10,22-16","10,18-20","9,22-20","10,25-25","7,25-20","10,25-22","10,20-22","6,20-25","10,20-25","10,25-15","8,25-18","0,8-12","9,25-15","10,18-3"
2,3,"Febvre, Romain",FRA ,KAW,854,"6,22-16","6,10-18","9,20-22","10,9-18","6,22-20",-,"4,20-25","6,15-22","6,15-20","10,22-25","8,22-25","8,25-18","9,25-22","9,25-22","6,22-22","10,22-25","0,25-20","8,0-25","9,16-22"
3,91,"Seewer, Jeremy",SUI ,YAM,759,"0,4-20","4,15-14","5,1-16","7,5-16","7,16-18","8,13-18","9,25-22","0,14-16","9,22-16","9,20-22","7,18-18","9,22-20","7,16-18","6,22-16","8,20-25","7,20-22","0,13-11","3,22-18","0,22-18"
4,259,"Coldenhoff, G.",NED ,YAM,695,"4,14-7","9,16-25","1,13-1","2,13-15","0,18-14","5,18-15","0,12-15","7,18-18","4,18-22","8,18-16","4,20-20","6,18-14","10,22-20","7,18-20","0,16-12","9,18-20","0,15-13","1,14-12","4,20-16"
5,70,"Fernandez, R.",ESP ,HON,654,"7,16-25","5,0-10","2,16-13","8,20-14","10,14-22","4,16-22","5,16-18","8,20-3","5,20-18","6,16-15","9,16-16","7,15-15","4,10-15","8,0-0","4,15-13","4,4-13","0,10-18","6,16-20","7,15-20"
6,10,"Vlaanderen, C.",NED ,YAM,599,"5,10-11","3,20-16","4,18-14","0,15-9","8,13-16","2,14-13","6,13-16","4,16-14","2,14-10","5,15-18","5,14-14","4,16-25","8,18-16","3,16-14","5,6-10","0,0-0","0,18-16","5,18-10","5,14-15"
7,303,"Forato, A.",ITA ,KTM,490,"0,12-8","0,13-12","7,9-15","0,16-6","0,12-6","6,15-14","7,0-0","5,13-15","8,16-14","0,14-13","3,13-13","2,4-11","0,15-14","2,14-3","2,14-14","5,15-14","0,16-14","10,20-16","0,0-0"
8,84,"Herlings, J.",NED ,KTM,456,"1,18-22","8,22-22","8,15-18","4,12-25","9,20-25","9,25-25","8,22-0","10,25-25","7,1-0",-,-,-,-,"1,13-18","7,13-18",-,-,-,-
9,92,"Guillod, V.",SUI ,HON,363,"2,7-9","0,4-3","3,14-12","6,14-10","1,11-12","1,12-10","3,14-14","0,6-13","3,13-8","1,11-12","6,15-15","1,10-0",-,-,"3,0-2","0,6-8","0,12-3","0,11-13","6,10-13"
10,959,"Renaux, Maxime",FRA ,YAM,314,"8,20-12","0,18-20","6,22-25","9,22-22","0,8-10","0,0-0",-,-,-,-,-,-,-,-,"0,8-20","1,14-15","0,20-22","0,3-9","0,0-0"
11,243,"Gajser, Tim",SLO ,HON,298,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"5,12-16","1,6-8","0,15-15","9,11-16","6,16-16","0,22-25","7,12-22","8,25-25"
12,6,"Paturel, B.",FRA ,YAM,277,"0,8-10","1,8-7","0,11-6","0,11-0","0,10-7","3,0-12","0,0-12","3,0-0",-,"4,13-10","2,12-11","0,11-0","0,8-10","4,0-10","1,0-7","3,0-9","0,11-9","0,13-6","3,11-0"
13,919,"Watson, Ben",GBR ,BET,252,"0,9-6","0,7-8","0,10-11","0,10-8","0,9-9","0,0-0","0,0-0","0,10-0","0,7-13","0,9-9","0,3-9","0,7-5","0,12-9","0,3-6","0,2-0","0,10-10","0,5-5","0,8-5","0,8-10"
14,101,"Guadagnini, M.",ITA ,GAS,249,"9,11-13","2,11-9","0,12-9","3,18-11","3,15-13","7,20-20","2,15-0",-,-,-,-,-,-,-,-,-,"0,14-10","4,10-8","0,0-0"
15,189,"Bogers, Brian",NED ,HON,243,"0,5-14","0,14-1","0,0-5","0,0-12","2,5-8","0,10-2","0,10-10","2,12-0","0,0-0",-,-,"0,8-1","5,11-11","0,11-9","0,0-9","2,12-11","0,7-8","0,7-3","0,5-11"
16,43,"Evans, M.",AUS ,KAW,235,- -,- -,- -,- -,"0,3-0","0,8-8","0,9-6","0,4-10","1,12-15","3,12-14","0,9-12","0,14-10","0,13-5","0,10-11","0,12-4","0,11-6","0,9-4",-,-
17,161,"Ã–stlund, Alvin",SWE ,HON,209,"0,6-5","0,5-4","0,4-2","0,8-4","0,6-5","0,3-0","0,6-5","0,0-11","0,5-6","0,10-11","1,11-10","0,3-7","0,5-3","0,9-12","0,0-6","0,9-7","0,6-7","0,4-0","0,1-2"
18,226,"Koch, Tom",GER ,KTM,187,- -,"0,6-5",-,"0,2-2","0,0-3","0,9-9","0,7-11","0,7-5","0,11-11",-,-,"0,5-12","0,1-4","0,8-5","0,7-8","0,8-4",-,"0,5-7","0,13-12"
19,41,"Jonass, Pauls",LAT ,HON,185,"3,15-18","0,9-11","0,0-0",-,-,-,-,-,-,-,-,-,-,-,"0,18-11","0,13-12","0,1-15","2,15-14","2,12-14"
20,77,"Lupino, A.",ITA ,BET,184,"0,0-4","0,2-6","0,6-10","0,6-7","0,7-0","0,11-11","0,8-7","0,11-12","0,8-0","2,3-0",-,"0,1-9",-,-,"0,9-0","0,0-0","0,4-6","0,6-11","1,7-9"
21,71,"Spies, M.",GER ,KTM,126,- -,"0,3-2","0,3-3","0,0-0","0,4-4","0,6-3","0,0-3","0,5-9","0,3-5",-,-,"0,9-8","2,9-6","0,7-7","0,1-3","0,7-3",-,"0,1-2","0,3-5"
22,32,"Van doninck, B.",BEL ,HON,114,"0,13-0","7,12-13","0,5-0","5,0-13","4,0-11","0,5-0","1,11-13","1,0-0",-,-,-,-,-,-,-,-,-,-,-
23,89,"Van Horebeek, J.",BEL ,HON,110,- -,- -,- -,- -,- -,- -,- -,- -,"0,10-12",-,-,"3,13-13","3,14-12","5,12-13",-,-,-,-,-
24,9,"Petrov, Petar",BUL ,YAM,53,- -,- -,- -,- -,- -,- -,"0,3-4",-,"0,0-0","0,8-8","0,10-8","0,0-0","0,2-0",-,-,"0,5-5",-,-,-
25,75,"Roosiorg, H.",EST ,HON,52,"0,2-3","0,0-0","0,2-0","0,0-0","0,0-0","0,0-6","0,1-0","0,3-6",-,"0,7-7","0,8-7","0,0-0",-,-,-,-,-,-,-
26,142,"Haavisto, Jere",FIN ,KTM,49,- -,- -,- -,- -,- -,- -,- -,"0,8-0","0,4-7",-,-,-,"0,4-1","0,1-8","0,10-5",-,-,-,"0,0-1"
27,87,"Brumann, Kevin",SUI ,YAM,44,- -,"0,1-0","0,0-7","0,3-0","0,0-0","0,7-4",-,-,"0,0-3",-,-,"0,6-0","0,3-7","0,2-1","0,0-0",-,-,-,-
28,151,"Kullas, Harri",EST ,YAM,37,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,7-13",-,-,-,-,-,"0,9-8"
29,48,"Monticelli, I.",ITA ,GAS,30,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-6",-,-,-,-,-,"0,9-4","0,4-7"
30,29,"Jacobi, Henry",GER ,KTM,29,- -,- -,- -,- -,- -,- -,"0,0-9","0,9-0","0,9-2",-,-,-,-,-,-,-,-,-,-
31,38,"Rubini, S.",FRA ,HON,27,- -,- -,"0,7-8",-,-,-,"0,4-8",-,-,-,-,-,-,-,-,-,-,-,-
32,336,"Stewart, L.",AUS ,KTM,25,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,6-6","0,7-6",-,-,-,-,-,-,-,-
33,167,"Murray, N.",AUS ,HUS,21,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,5-5","0,6-5",-,-,-,-,-,-,-,-
34,811,"Sterry, Adam",GBR ,KTM,21,- -,- -,- -,"0,4-5",-,-,-,-,"0,0-4",-,-,-,-,-,-,"0,0-0",-,-,"0,2-6"
35,204,"Maksum, Hilman",INA ,KTM,17,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,4-4","0,5-4",-,-,-,-,-,-,-,-
36,86,"Koch, Tim",GER ,HUS,15,- -,- -,- -,- -,- -,- -,- -,- -,"0,6-9",-,-,"0,0-0",-,-,-,-,-,-,-
37,52,"Gerhardsson, A.",SWE ,HUS,15,- -,- -,- -,- -,- -,- -,- -,"0,0-1","0,0-0",-,-,"0,0-0","0,0-2","0,5-0","0,5-1","0,0-1",-,"0,0-0",-
38,17,"Toendel, C.",NOR ,HON,13,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,3-0","0,0-0",-,"0,0-0","0,6-4"
39,988,"Kerhoas, L.",FRA ,HUS,12,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-3","0,4-3",-,-,-,-,-,-,-,-
40,97,"Ivanov, M.",BUL ,HUS,11,- -,- -,- -,"0,0-1","0,1-1","0,1-7","0,0-0",-,"0,0-0",-,-,-,-,-,-,-,-,-,-
41,140,"Leok, Tanel",EST ,HUS,10,- -,- -,- -,- -,- -,- -,- -,"0,2-8",-,-,-,-,-,-,-,-,-,-,-
42,57,"Goupillon, P.",FRA ,KTM,10,- -,- -,- -,"0,7-3",-,-,"0,0-0",-,-,-,-,-,-,-,-,-,-,-,-
43,37,"Krestinov, G.",EST ,HON,10,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,6-4",-,-,-,-,-
44,115,"Dickinson, A.",GBR ,KTM,9,- -,- -,- -,- -,- -,"0,2-5","0,0-1",-,"0,0-1",-,-,-,-,-,-,-,-,-,-
45,4,"Tonus, Arnaud",SUI ,YAM,8,- -,- -,"0,8-0",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,637,"Sileika, T.",LAT ,GAS,7,- -,- -,- -,- -,- -,- -,- -,"0,0-7",-,-,-,-,-,-,-,-,-,-,-
47,141,"Purdon, T.",RSA ,KTM,7,- -,- -,- -,- -,- -,"0,4-0","0,0-0",-,"0,0-0",-,-,"0,0-0","0,0-0",-,-,"0,3-0",-,-,"0,0-0"
48,53,"Jost, Simon",SVK ,KTM,6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-4",-,-,-,-,-,-,-
49,747,"Sihvonen, Miro",FIN ,HUS,6,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,4-2",-,-,-,-,-
50,991,"Scheu, Mark",GER ,HUS,5,- -,- -,- -,- -,- -,- -,"0,5-0",-,-,-,-,-,-,-,-,-,-,-,-
51,62,"Lusbo, Andero",EST ,GAS,5,- -,- -,- -,- -,- -,- -,- -,"0,1-4",-,-,-,-,-,-,-,-,-,-,-
52,761,"Georgiev, J.",BUL ,YAM,5,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,3-2",-,-
53,179,"Poli, Joaquin",ARG ,KAW,5,"0,3-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,692,"Karlsson, D.",SWE ,GAS,4,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,4-0",-,-,-,-
55,426,"Mewse, Conrad",GBR ,HON,4,- -,- -,"0,0-4",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,271,"Alberto, Paulo",POR ,YAM,4,- -,- -,- -,- -,"0,2-2",-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,45,"Kohut, Tomas",SVK ,KTM,3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-3",-,-,-,-,-,-,-
58,888,"Baysan, G.",TUR ,GAS,3,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-1",-,-
59,34,"De Waal, M.",NED ,GAS,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-2",-,-,-
60,260,"Koch, Nico",GER ,KTM,2,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-0",-,-,-,-,-,-,-,-,-,-
61,771,"Croci, Simone",ITA ,HUS,2,- -,- -,- -,- -,- -,- -,"0,0-2",-,-,-,-,-,-,-,-,-,-,"0,0-0",-
62,380,"Conijn, Marcel",NED ,YAM,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-0",-,-,-
63,181,"Jazdauskas, D.",LTU ,KTM,2,- -,- -,- -,- -,- -,- -,- -,"0,0-2",-,-,-,-,-,-,-,-,-,-,-
64,848,"Nava, Giulio",ITA ,YAM,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,2-0",-
65,331,"Malaval, A.",FRA ,YAM,2,- -,- -,- -,- -,- -,- -,"0,2-0",-,-,-,-,-,-,-,-,-,-,-,-
66,221,"Joergensen, M.",DEN ,YAM,2,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-2",-,"0,0-0",-,-,-,-,-
67,2,"Jasikonis, A.",LTU ,GAS,1,- -,- -,- -,"0,1-0",-,-,"0,0-0",-,-,-,-,-,-,-,-,-,-,-,-
68,107,"van Berkel, L.",NED ,HON,1,"0,1-0",-,-,-,-,-,-,-,-,-,-,-,"0,0-0",-,-,-,-,-,-
69,94,"Van der Mierden, S.",NED ,GAS,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,1-0",-,-,-
70,724,"Ubach, Simeo",ESP ,HUS,1,- -,- -,- -,- -,- -,"0,0-1",-,-,-,-,-,-,-,-,-,-,-,-,-
71,98,"Poli, Agustin",ARG ,KAW,1,"0,0-1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,143,"De Bortoli, D.",ITA ,HON,1,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,"0,0-1",-
